zip,county,total,num,lat,lon
80000,"NONE",31364.75,203,39.669637,-104.773083
80001,"Jefferson",602593.8300000001,597,39.522014,-105.223945
80002,"Jefferson",526386.1899999984,7300,39.795006,-105.0981
80003,"Jefferson",803225.2699999987,11784,39.825357,-105.06439
80004,"Jefferson",1560949.589999999,14472,39.81431,-105.12263
80005,"Jefferson",1312878.939999997,17729,39.843304,-105.11896
80006,"Jefferson",110646.46,353,39.522014,-105.223945
80007,"Jefferson",546050.1099999989,4186,39.833442,-105.18591
80010,"Arapahoe",276558.76,3826,39.739387,-104.8621
80011,"Adams",1462752.780000003,8288,39.739737,-104.80905
80012,"Arapahoe",678871.0500000006,7345,39.698387,-104.83956
80013,"Arapahoe",597450.7999999998,9696,39.659105,-104.7791
80014,"Arapahoe",3432605.099999976,18092,39.665637,-104.83421
80015,"Arapahoe",1198076.169999993,14320,39.623896,-104.77723
80016,"Arapahoe",1357463.689999999,13542,39.595115,-104.7485
80017,"Arapahoe",203160.4999999999,2851,39.695269,-104.78439
80018,"Arapahoe",59294.22000000007,996,39.689244,-104.7166
80019,"Adams",12951,173,39.784036,-104.72289
80020,"Broomfield",2081887.060000011,20523,39.93404,-105.05454
80021,"Broomfield",1951589.700000009,8219,39.881608,-105.09953
80022,"Adams",7236841.44,5268,39.836586,-104.9039
80024,"Adams",2190,36,39.844685,-104.91851
80025,"Boulder",56272,278,39.92926,-105.28863
80026,"Boulder",1008131.41,11419,40.002156,-105.10036
80027,"Boulder",1599316.890000001,15240,39.963322,-105.15053
80028,"Boulder",6620,34,40.087835,-105.373507
80030,"Adams",615544.6800000009,3914,39.830936,-105.03736
80031,"Adams",1660740.58,13774,39.866785,-105.04143
80033,"Jefferson",11467843.67999996,13293,39.774341,-105.10036
80034,"Jefferson",51358,293,39.522014,-105.223945
80035,"Adams",6164.09,98,39.80797,-104.407918
80036,"Adams",145365,138,39.80797,-104.407918
80037,"Adams",11778.76,55,39.80797,-104.407918
80038,"Broomfield",326350.6099999998,449,40.087835,-105.373507
80040,"Adams",49780.25000000001,113,39.80797,-104.407918
80041,"Arapahoe",7786.46,51,39.738752,-104.408349
80042,"Adams",5327,55,39.80797,-104.407918
80044,"Arapahoe",55305.57,324,39.738752,-104.408349
